"success","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","screen","date","time","screen_height","screen_width","researcher","sona_id","prolific_id","study_id","session_id","rt","stimulus","response","question_order","timeout","failed_images","failed_audio","failed_video","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number","file","block","correct_response","Illusion_Type","Illusion_Strength","Illusion_Difference","isi","fixation_cross","type","illusion_strength","illusion_difference"
"true","fullscreen","0","1979","0.0-0.0","Eminem","xxx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","2986","0.0-1.0","Eminem","xxx","1090","571","true","chrome","122.0.0","false","Mac OS","true","60.2","true","true","browser_info","11/03/2024","19:08:37","571","1090","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","2","4138","0.0-2.0","Eminem","xxx","","","","","","","","","","","","consent","","","","","","","","","","1149","<img src='https://u-paris.fr/wp-content/uploads/2022/03/Universite_Paris-Cite-logo.jpeg' width='300px' align='right'/><br><br><br><br><br><h1>Consent form</h1><p align='left'>In this study, you will have to complete two questionnaires and two tasks.</p><p align='left'>The questionnaires and tasks must be completed alone. <b>Your participation is confidential and your answers will be anonymized.</b> We do not collect your IP address or any other identifying information.</p><p align='left'>Your data are very valuable for us. In participating, you will contribute to scientific progress. <b>In participating, you accept to follow the instructions and to supply honest answers.</b> If you don't want to participate, you can simply close your browser.</p><p align='left'><br><sub><sup>If you have any question regarding the study, you can email Baptiste Fauvel (baptiste.fauvel@u-paris.fr). This study has been reviewed and approved by the ethical committee of the University of Paris .</sup></sub></p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","7078","0.0-3.0-0.0","Eminem","xxx","","","","","","","","","","","","demographics_1","","","","","","","","","","2936","","{""sex"":""Male"",""student"":"""",""education"":"""",""language"":""""}","[0,1,2,3]","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","4","8632","0.0-3.0-1.0","Eminem","xxx","","","","","","","","","","","","demographics_2","","","","","","","","","","1548","","{""age"":"""",""country"":""""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","5","10347","0.0-4.0","Eminem","xxx","","","","","","","","","","","","","","","","","","","","","","1713","<p style=""font-size:18px; color:black;"">Have you <b>ever</b> been diagnosed with any of the following pathologies ?</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","11237","0.0-6.0","Eminem","xxx","","","","","","","","","","","","","","","","","","","","","","889","<p style=""font-size:18px; color:black;"">Are you <b>currently</b> diagnosed with any of the following pathologies ?</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","12534","0.0-8.0","Eminem","xxx","","","","","","","","","","","","","","","","","","","","","","1296","<p style=""font-size:18px; color:black;"">Do you meditate regularly? E.g. at least once a week?</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","13110","0.0-10.0","Eminem","xxx","","","","","","","","","","","","","","","","","","","","","","575","<p style=""font-size:18px; color:black;"">Have you taken a psychedelic drug in the last 6 months? (E.g. LSD, psilocybin mushrooms, ayahuasca)</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","9","15858","0.0-11.0","Eminem","xxx","","","","","","","","","","","","","","","","","","","","","","2747","","{""psych_freq_english"":""Never""}","[0]","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","10","16005","0.0-12.0","Eminem","xxx","","","","","","","","","","","","","","","","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","11","17197","0.0-13.0","Eminem","xxx","","","","","","","","","","","","SAT_instructions_general","","","","","","","","","","1191","<h1>Shape-Label Association Game</h1><p>In this task, you will be shown some <b>shapes</b> that will be assigned to a <b>label</b> (You, Your Best Friend and a Stranger).</p><p>To personalize this game to your own experience, you will first select who you want the friend and the stranger to be.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","12","19660","0.0-14.0","Eminem","xxx","","","","","","","","","","","","SAT_strangerlabel","","","","","","","","","","2461","","{""label_stranger"":""Eminem""}","[0]","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","13","22026","0.0-15.0","Eminem","xxx","","","","","","","","","","","","SAT_friendlabel","","","","","","","","","","2359","","{""label_friend"":""xxx""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","14","22815","0.0-16.0","Eminem","xxx","","","","","","","","","","","","SAT_instructions_practice","","","","","","","","","","788","<h1>Practice</h1><p>Each label (i.e., You, Best Friend, Stranger) will be assigned to a specific shape (circle, square or triangle)</p><p>During the practice phase, you will be presented with one of the shapes above a fixation cross, together with the three labels below the fixation cross.</p><p>Your task is to select the label that corresponds with the presented shape as quickly and accurately as possible</p><p>If the correct label is on the <b>left</b>, press <b>'v'</b>.</p><p>If the correct label is in the <b>middle</b>, press <b>'b'</b>.</p><p>If the correct label is on the <b>right</b>, press <b>'n'</b>.</p><br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","15","26278","0.0-17.0","Eminem","xxx","","","","","","","","","","","","SAT_assignmentscreen","","","","","","","","","","3461","<h1>Instructions</h1><div id ='align-middle'><b>You</b> will be represented by a  <b>circle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=40></img></div><br><div id ='align-middle'><b>Eminem</b> will be represented by a  <b>triangle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=40></img></div><br><div id = 'align-middle'><b>xxx</b> will be represented by a  <b>square</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=40></img></div><br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","16","26780","0.0-18.0-0.0","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","28145","0.0-18.0-1.0","Eminem","xxx","","","","","","","","","","","","sat_practicetrial","","","","","","","","","","1364","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>xxx</b></br></br></br></br>n</div>","b","","","","","","","triangle","1","Eminem","Eminem","true","Stranger","","","","","","","","","","","","",""
"","html-keyboard-response","18","28647","0.0-18.0-2.0","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","29149","0.0-18.0-0.1","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","20","29919","0.0-18.0-1.1","Eminem","xxx","","","","","","","","","","","","sat_practicetrial","","","","","","","","","","769","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>xxx</b></br></br></br></br>n</div>","n","","","","","","","square","2","xxx","xxx","true","Friend","","","","","","","","","","","","",""
"","html-keyboard-response","21","30421","0.0-18.0-2.1","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","22","30923","0.0-18.0-0.2","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","31518","0.0-18.0-1.2","Eminem","xxx","","","","","","","","","","","","sat_practicetrial","","","","","","","","","","594","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>xxx</b></br></br></br></br>n</div>","n","","","","","","","square","3","xxx","xxx","true","Friend","","","","","","","","","","","","",""
"","html-keyboard-response","24","32020","0.0-18.0-2.2","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","32521","0.0-18.0-0.3","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","26","33459","0.0-18.0-1.3","Eminem","xxx","","","","","","","","","","","","sat_practicetrial","","","","","","","","","","937","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>xxx</b></br></br></br></br>n</div>","n","","","","","","","square","4","xxx","xxx","true","Friend","","","","","","","","","","","","",""
"","html-keyboard-response","27","33961","0.0-18.0-2.3","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","28","34462","0.0-18.0-0.4","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","29","35122","0.0-18.0-1.4","Eminem","xxx","","","","","","","","","","","","sat_practicetrial","","","","","","","","","","660","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>xxx</b></br></br></br></br>n</div>","n","","","","","","","square","5","xxx","xxx","true","Friend","","","","","","","","","","","","",""
"","html-keyboard-response","30","35624","0.0-18.0-2.4","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","31","36126","0.0-18.0-0.5","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","32","36959","0.0-18.0-1.5","Eminem","xxx","","","","","","","","","","","","sat_practicetrial","","","","","","","","","","832","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>xxx</b></br></br></br></br>n</div>","v","","","","","","","circle","6","You","You","true","Self","","","","","","","","","","","","",""
"","html-button-response","33","38338","0.0-19.0","Eminem","xxx","","","","","","","","","","","","sat_practice_end","","","","","","","","","","1378","<h1>Congratulations!</h1><p>You have completed the training.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","34","40978","0.0-20.0","Eminem","xxx","","","","","","","","","","","","matching_instructions","","","","","","","","","","2639","<h1>Instructions</h1><p>In this part of the game, the previous shapes will be re-assigned to the labels.</p><p>Your task will be then to decide if the presented shape matches their newly assigned label as quickly and accurately as possible.</p><p>If the shape-label pair is a <b>match</b>, press <b>'e'</b>.</p><p>If the shape-label pair is <b>not a match</b>, press <b>'i'</b></p><br><p>Good luck!</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","35","42044","0.0-21.0","Eminem","xxx","","","","","","","","","","","","SAT_assignmentscreen","","","","","","","","","","1064","<h1>Instructions</h1><div id ='align-middle'><b>You</b> will be represented by a  <b>triangle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=40></img></div><br><div id ='align-middle'><b>Eminem</b> will be represented by a  <b>square</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=40></img></div><br><div id = 'align-middle'><b>xxx</b> will be represented by a  <b>circle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=40></img></div><br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","36","42545","0.0-22.0-0.0","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","37","43413","0.0-22.0-1.0","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","867","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>You</div>","e","","","","","","","circle","1","match","mismatch","false","","Self","1","","","","","","","","","","",""
"","html-keyboard-response","38","43914","0.0-22.0-2.0","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","null","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","39","44415","0.0-22.0-0.1","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","40","44918","0.0-22.0-1.1","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","502","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>You</div>","e","","","","","","","triangle","2","match","match","true","","Self","1","","","","","","","","","","",""
"","html-keyboard-response","41","45419","0.0-22.0-2.1","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","42","45922","0.0-22.0-0.2","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","43","46286","0.0-22.0-1.2","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","364","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</div>","e","","","","","","","square","3","match","match","true","","Stranger","1","","","","","","","","","","",""
"","html-keyboard-response","44","46787","0.0-22.0-2.2","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","45","47289","0.0-22.0-0.3","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","46","47694","0.0-22.0-1.3","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","405","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>xxx</div>","e","","","","","","","circle","4","match","match","true","","Friend","1","","","","","","","","","","",""
"","html-keyboard-response","47","48195","0.0-22.0-2.3","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","48","48697","0.0-22.0-0.4","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","49","49107","0.0-22.0-1.4","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","409","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>xxx</div>","e","","","","","","","circle","5","match","match","true","","Friend","1","","","","","","","","","","",""
"","html-keyboard-response","50","49607","0.0-22.0-2.4","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","51","50109","0.0-22.0-0.5","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","52","50221","0.0-22.0-1.5","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","111","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>xxx</div>","e","","","","","","","square","6","match","mismatch","false","","Friend","1","","","","","","","","","","",""
"","html-keyboard-response","53","50722","0.0-22.0-2.5","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","null","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","54","51224","0.0-22.0-0.6","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","55","51544","0.0-22.0-1.6","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","319","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</div>","e","","","","","","","circle","7","match","mismatch","false","","Stranger","1","","","","","","","","","","",""
"","html-keyboard-response","56","52045","0.0-22.0-2.6","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","null","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","57","52548","0.0-22.0-0.7","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","58","52955","0.0-22.0-1.7","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","407","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>xxx</div>","e","","","","","","","square","8","match","mismatch","false","","Friend","1","","","","","","","","","","",""
"","html-keyboard-response","59","53457","0.0-22.0-2.7","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","null","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","60","53960","0.0-22.0-0.8","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","61","54444","0.0-22.0-1.8","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","484","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>xxx</div>","e","","","","","","","square","9","match","mismatch","false","","Friend","1","","","","","","","","","","",""
"","html-keyboard-response","62","54945","0.0-22.0-2.8","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","null","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","63","55447","0.0-22.0-0.9","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","64","56023","0.0-22.0-1.9","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","575","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Eminem</div>","e","","","","","","","circle","10","match","mismatch","false","","Stranger","1","","","","","","","","","","",""
"","html-keyboard-response","65","56524","0.0-22.0-2.9","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","null","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","66","57026","0.0-22.0-0.10","Eminem","xxx","","","","","","","","","","","","sat_fixationcross","","","","","","","","","","null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","","","","","","500","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","67","57297","0.0-22.0-1.10","Eminem","xxx","","","","","","","","","","","","sat_trial","","","","","","","","","","271","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>You</div>","e","","","","","","","triangle","11","match","match","true","","Self","1","","","","","","","","","","",""
"","html-keyboard-response","68","57798","0.0-22.0-2.10","Eminem","xxx","","","","","","","","","","","","sat_feedback","","","","","","","","","","null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
